Prompt,Input,Output,Type
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well actually even when we have n't had big yard because um we enjoy that,well actually we've always had one even when we have n't had big yard because um we enjoy that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i think that's when i'll start doing the plastic too,and i think that's when i'll i'll start doing the plastic too,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Very important because uh you'll start losing people if it's too far to go.,Very important <sil> because <sil> uh <sil> you'll start losing people if it's too far to go.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh it it's a really tough question,and uh it's just it it's a really tough question,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",does what songs does he play,what kind of music is does what songs does he play,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh most of the stations here that are not all news stations you get about five minutes on the hour,uh most of the news stations most of the stations here that are not all news stations you get about five minutes on the hour,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i do n't think they are because um our measurements started in england,i i do n't think they are because our um our measurements started in england,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they're,they're they're,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and in terms of the question um in terms uh,and in the in terms of the question um in terms uh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",That's right and that's good. That's the best way to stop it.,That's right <sil> and that's good. That's the best way to stop it.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh but the atmosphere is just wonderful,and uh but the the atmosphere is just wonderful,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's why i really miss it,that's why i- i really miss it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's a little bits extreme,that's that's a little bits extreme,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh definitely.,Oh <sil> definitely.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",And I expect you're right in regards to having two parents now. That's a good a good statement.,And I expect you're right in regards to having two parents now. That's a good <sil> a good statement.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",because it's out there,because it's it's out there,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh really? I spent three years I'm teaching in public schools and elementary school.,Oh really? I spent three years <sil> I'm teaching in public schools and elementary school.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well I was called and then I was not chosen.,Well <sil> I was called and then I was not chosen.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but it that it's developed as much as it could be for the size company as ti,but it i do n't think it that it's developed as much as it could be for the size company as ti,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and you always hear your own voice in recordings and say my god that's obviously that's not me you know,and you always hear your own voice in recordings and say my god that's that's not obviously that's not me you know,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",education side of it and everything but uh I usually end up getting money back. I will this year anyway from Yeah I am. I need it too otherwise Uh-huh.,education side of it and everything <sil> but <sil> uh <sil> I usually end up getting money back. I will this year anyway from <sil> Yeah <sil> I am. I need it <sil> too <sil> otherwise <sil> Uh-huh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i am pretty ob- pretty i mean i am pretty aware of what goes on uh in the church,so i am pretty i am pretty ob- pretty cons- i mean i am pretty aware of what goes on uh in the church,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh and because of that towards the end of war i guess about two and a half three in we began to restrict our news almost deliberately where we would uh watch uh fifteen minutes before fifteen minutes after six our time which would be national news or our local news,uh and because of that we began towards the middle o- end of the war i guess about two and a half three weeks in we began to restrict our news almost deliberately where we would uh watch uh fifteen minutes before fifteen minutes after six our time which would be national news or our local news,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",uh a friend of mine from Denmark hand appliqu3ed one for each child. And I mean they look today as new as they did when she gave them to us and there's a ring and you buy a present and you wrap the present up and I mean the presents have gone from the days when they were very young to a little box of Band-Aids and an eraser and things today where um sometimes I put a little gift uh occasionally a Christmas tree decoration which they will save for their future to sometimes just money uh pieces of candy. So I think as they're getting in college I just for my older boy that was in college I put a dollar bill for each day. Which was the equivalent well it was the equivalent of a Christmas present. and and it it was was and you know it was fun but that's a tradition and those will be passed on to them when they get married and leave.,uh <sil> a friend of mine from Denmark hand appliqu3ed one for each child. And <sil> I mean <sil> they look today as new as they did when she gave them to us <sil> and there's a ring and you buy a present <sil> and you wrap the present up <sil> and I mean <sil> the presents have gone from the days when they were very young to a little box of Band-Aids and an eraser and things <sil> today <sil> where <sil> um <sil> sometimes I put a little gift uh <sil> occasionally a Christmas tree decoration which they will save for their future <sil> to sometimes <sil> just money <sil> uh <sil> pieces of candy. So <sil> I think as they're getting in college <sil> I just <sil> for my older boy that was in college I put a dollar bill for each day. Which was the equivalent well <sil> it was the equivalent of a Christmas present. and and it it was was <sil> <sil> and <sil> you know <sil> it was fun <sil> but that's a tradition and those will be passed on to them when they get married and leave.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",about the only good thing i would see about that is that it would um hurry the process up a bit but i mean even now i know we've got plenty of cases out there where people have been wrongly convicted and things like that,about the only good thing i would see about that is that would it that it would um hurry the process up a bit but i mean even now we've got i know we've got plenty of cases out there where people have been wrongly convicted and things like that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i knew you know,and i- i knew you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh we started getting smart,an- and uh we started getting smart,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",And then you might have more control over uh the morals that they would be taught rather than in like a classroom or a day care center. I know the day care centers are not cheap either. You know they're Uh well no I know several single mothers who absolutely can't afford it. They have to go with a a single single uh wh- I mean a baby-sitter more or less. But I think it's like about sixty dollars a week for two children if I'm not mistaken.,And then you might have more control over <sil> uh <sil> the morals that they would be taught rather than in like a classroom or a day care center. I know the day care centers are not cheap either. You know they're <sil> Uh <sil> well <sil> no <sil> I know several single mothers who absolutely can't afford it. They have to go with a a single single <sil> <sil> uh <sil> wh- <sil> I mean a baby-sitter more or less. But I think it's like <sil> about sixty dollars a week for two children if I'm not mistaken.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",wow do n't they have the best record now,wow they've got the do n't they have the best record now,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh six years and a war later uh i got an undergraduate degree,uh six years and a and a war later uh i got a degree an undergraduate degree,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so you're in favor of capital punishment then,so you're in you're in favor of capital punishment then,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and then they granted them amnesty when was and was in the eighties sometime if they could prove they'd been here five years,and then they granted them amnesty if they could prove when was that and it was in the eighties sometime if they if they could prove they'd been here five years,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well it you know,well it it you know,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well I'm going to have to get some.,Well <sil> I'm going to have to get some.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i i guess if i was having a dinner party depending on the number of people i might cook like a brisket or a roast or maybe a chicken dish and um i guess i usually plan probably a lettuce salad a a potato dish,well i- i i guess if i was having a dinner party i depending on the number of people i might cook a like a brisket or a roast or a maybe a chicken dish and um i guess i usually plan probably a lettuce salad an- a a potato dish,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i mean that's ridiculous,and i mean that's that's ridiculous,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",uh well die or whatever. I mean they probably became weakened physically and other things to the point that their life expectancy was real short but now we tend to,uh <sil> well <sil> die or whatever. I mean they probably became weakened physically and other things to the point that their life expectancy was real short <sil> but now we tend to,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",yeah up here the city provides them,yeah up here the the city provides them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they made like uh small personal computers,th- they made like uh small personal computers,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",and uh drug use well actually drug use is probably a misdemeanor but uh what kind uh have you been the subject of such a crime such as stealing or anything?,and <sil> uh <sil> drug use <sil> well <sil> actually drug use is probably a misdemeanor <sil> but <sil> uh <sil> what kind <sil> uh <sil> have you been the subject of such a crime <sil> such as stealing <sil> or anything?,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Okay. yeah I started too and uh kind of kind of worked away from that. I I have a hard time sticking with something like like on T V because it like it gets real aggravating if you miss it for a week or two. You feel kind of left out. But um right.,Okay. <sil> yeah <sil> I started <sil> too <sil> and <sil> uh kind of <sil> kind of worked away from that. I <sil> I have a hard time sticking with something like <sil> like on T V <sil> because <sil> it <sil> like <sil> it gets real aggravating if you miss it <sil> for a week or two. You feel kind of left out. But <sil> um <sil> right.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh we're about to take the kids to go roller skating and a birthday party and stuff,we're uh we're about to take the kids to go roller skating and a birthday party and stuff,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",And home porting was a possibility a few years ago. They were expecting an influx of something on the order of fifty thousand people or more from the Navy a new carrier was coming in and uh the uh attendant uh support vessels. Well that's no longer the case.,And home porting was a possibility a few years ago. They were expecting an influx of something on the order of fifty thousand people or more from the Navy <sil> a new carrier was coming in and <sil> uh <sil> the <sil> uh <sil> attendant <sil> uh <sil> support vessels. Well <sil> that's no longer <sil> the case.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",of course it was back in the fifties,of course it was back in the in the fifties,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh you are?,Oh <sil> you are?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so just going to school and working,so just going to school and and working,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but this this is a true one,but it this this is a true one,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh yeah. I guess you did too. It's what they've done in the spring,Oh <sil> yeah. I guess you did too. It's what they've done in the spring,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you know i really do not know,you know i- i really do not know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh i do n't watch a lot of it,uh i- i do n't watch a lot of it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",something that i feel a pretty much an invasion of privacy is something that's really so common that it's accepted as the norm now is the open office concept,something that i feel is a is a pretty much an invasion of privacy is something that's really so common that it's accepted as the norm now is the op- the open office concept,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but when could uh your salary increase and was there somewhere to go,but when when could uh your salary increase and is there was there somewhere to go,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and when it has rained it's been a good soaking rain,and when it has rained it ha- it's been a good soaking rain,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and we pay it sort of glancing nod,and and we pay it sort of glancing nod,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i had zucchini and yellow crook neck squash,i had zucchini and and yellow crook neck squash,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",okay,o- okay,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh I've been camping for years not on a regular basis but uh I first started camping out in the desert in California. And then sometimes in the mountains also in California,Oh <sil> I've been camping for years <sil> not on a regular basis but <sil> uh <sil> I first started camping out in the desert in California. And then sometimes in the mountains also in California,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",And it was so good.,And <sil> it was so good.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so um well i guess that's about all we need to do is n't it,so um well i gue- i guess that's about all we need to do is n't it,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well you know now we have that new mall in Lewisville and that's just like a mile or two from our house but when we first moved to Coppell it's what six years ago we didn't even have a grocery store and now we have four and Coppell's not really big enough to support four grocery stores,Well <sil> you know <sil> now we have that new mall in Lewisville and that's just like a mile or two from our house but <sil> when we first moved to Coppell <sil> it's what <sil> six years ago <sil> we didn't even have a grocery store and now we have four and Coppell's not really big enough to support four grocery stores,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yes. Yeah it's been cold. There was a time though in the uh middle part of November that got really cool really really unseasonably cool and then it warmed right back up and I thought great and that's a fun th- yeah my wife was just listening here and she said yeah it froze in fact.,Yes. Yeah <sil> it's been cold. There was a time <sil> though <sil> in the <sil> uh <sil> middle part of November that got really cool <sil> really <sil> really unseasonably cool and then it warmed right back up <sil> and I thought <sil> great and that's a fun th- <sil> yeah <sil> my wife was just listening here and she said <sil> yeah <sil> it froze in fact.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh uh she's been on like the top ten i guess or whatever,and uh she's gotten some uh she's been on like the top ten i guess or whatever,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",maybe there's uh a bad home in a rural area,maybe there's a bad uh a bad home in a rural area,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i question us you know now,i i question us you know now,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i had bought these uh celosias or whatever,i had bought these uh colossians celosias or whatever,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",see the only thing you know i do n't understand i guess i do n't understand our judicial system uh as it is right now,see the only thing i do n't you know i do n't understand i guess i- i do n't understand our judicial system uh as it is right now,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Um boy.,Um <sil> boy.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you just pay it huh,just you just pay it huh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i you i value her opinion,so i really i you i- i value her opinion,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well uh i watch the um national news everyday for one,well i kind of uh i watch the um national news everyday for one,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",because you know of everything you know that my family taught me which is very hard to change that all of a sudden from one year to the next and say i'm sorry you know,because you know of everything that he taught me you know that my family taught me which is very hard to change that all of a sudden from one year to the next and say i'm sorry you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i got about like a hundred pages through it and realized i had like a thousand more,and i just i got about like a hundred pages through it and realized i had like a thousand more,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah but you know that's like them being enthralled with our football and so forth you know. Our movie stars because it's totally different concept to us. I haven't had a chance to read a lot lately either. I have read uh mostly novels. I went to visit my daughter in Florida and I took a novel with me uh and read it at Thanksgiving time and uh it was uh one of those generation novels you know starts out when they're small and continues through generations and I like that.,Yeah <sil> but you know <sil> that's like them being enthralled with our football and so forth <sil> you know. Our movie stars <sil> because it's totally different concept to us. I haven't had a chance to read a lot lately either. I have read <sil> uh <sil> mostly novels. I went to visit my daughter in Florida and I took a novel with me <sil> uh <sil> and read it at Thanksgiving time <sil> and <sil> uh <sil> it was <sil> uh <sil> one of those generation novels <sil> you know starts out when they're small and continues through generations and I like that.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh i do n't really know of anyone that's looking for colleges now you know because with the exception of uh people's younger brothers and sisters,uh i do n't really know of anyone that's like look- that's looking for colleges now you know because with the exception of uh people's younger brothers and sisters,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",yeah,y- yeah,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",okay in richardson there,okay in r- in richardson there,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",we i believe in unions,i we i believe in unions,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and and that's without i uh probably cause,and and and that's without i uh probably cause,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I think two. I know they lost yeah to Washington and Philadelphia.,I think two. I know they lost <sil> yeah <sil> to Washington and Philadelphia.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",So I think a person could work uh into the seventies eighties even nineties for that matter if they didn't have to do a lot of physical uh labor they could main- maintain uh,So I think a person could work <sil> uh <sil> into the seventies <sil> eighties <sil> even nineties for that matter <sil> if they didn't have to do a lot of physical <sil> uh <sil> labor <sil> they could main- <sil> maintain <sil> uh <sil>,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but a dollar is n't it,but but a dollar is n't it,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Huh. Well maybe now things are calming down again. That will happen.,Huh. Well <sil> maybe now things are calming down again. That will happen.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's a strange state for,that's that's a strange state for,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i think it was sort of on the grounds that they were considering whether she would live there,well i think it i think it was sort of on the grounds that they were considering whether she would live there,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i mean you know i do n't even get to see half my paycheck,i mean i do n't even you know i do n't even get get to see half my paycheck,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i know,i- i know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but a little bit you know from thirty million dollars or thirty five mill-,but a little bit from three you know from thirty million dollars or thirty five mill-,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's was a night away from the children,it's was a a night out away from the children,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i understand the big cities like in new york or la or somewhere because big cities,i just do n't under- i understand the big cities like in new york or la or somewhere because big cities,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well hal uh what's crime like in dallas,well hal what's uh what's crime like in dallas,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",MUMBLEx. okay. That's interesting.,MUMBLEx. <sil> okay. That's interesting.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. Yeah. Well they uh a good friend of mine that plays on one of my teams we uh that's usually the team I play on with the tournaments and stuff and they have a couple of kids that are almost my kids age. So they play together pretty well and Yeah. Yeah pretty much. And uh Tina enjoys uh the other lady real well. So they you know that's kind of nice. It's like getting together with them. So to speak.,Yeah. Yeah. Well <sil> they <sil> uh <sil> a good friend of mine that plays on one of my teams <sil> we <sil> uh <sil> that's usually the team I play on with the tournaments and stuff <sil> and they have a couple of kids that are almost my kids age. So they play together <sil> pretty well and <sil> Yeah. Yeah <sil> pretty much. And <sil> uh <sil> Tina enjoys <sil> uh <sil> the other lady <sil> real well. So they <sil> you know <sil> that's kind of nice. It's like getting together with <sil> them. So to speak.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i had been a stay at home mom,i had been a a stay at home mom,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well are they going to beat oakland,well are they going to beat are they going to beat oakland,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and so we've seen lots of pictures of the beautiful spots and areas,and so we've seen lots of pictures of the of the beautiful spots and areas,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Okay. Well I enjoyed talking with you.,Okay. Well <sil> I enjoyed talking with you.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",because in most states there's nothing to regulate them,because there's in most states there's nothing to regulate them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um in behind wal-mart they have bins and then we usually save up our cans and change them in for money,they have um in behind wal-mart they have bins and then we usually save up our cans and and change them in for money,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",if you compound that uh,if you compound that that uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but more and more these days i i'll like a football game,but more and more these days i'm i i'll like a football game,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",chrysler made some really good old engines back then,they chrysler made some really good old engines back then,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i uh did not,i did uh did not,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh oh.,Uh <sil> oh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but uh smaller schools are n't like that uh,but but uh smaller schools are n't like that uh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Did You had those poured or you did them yourself?,Did <sil> You had those poured or you did them yourself?,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh-huh uh-huh.,Uh-huh <sil> uh-huh.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Boy speaking of Denver on another subject I've been up there like five times in the last three four weeks.,Boy <sil> speaking of Denver <sil> on another subject <sil> I've been up there like five times in the last three <sil> four weeks.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and not too long ago they finally decided if it's anything that's paper and tears you can throw it in there because they said they said no telephone books,and not too long ago they finally decided if it's anything that's paper and tears you can throw it in there because at first they said yeah at first they said they said no telephone books,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah keep it damp. Well my out here you know we don't have as many trees in Plano at least the area where we're over by Collin Creek Mall but a lot of the shrubbery that we have in the front like the pittosporum all died and all those variegated uh things died. So we pretty much go with that dwarf Yaupon and that Yaupon holly and they just live Yeah you can stand those.,Yeah keep it damp. Well <sil> my <sil> out here <sil> you know <sil> we don't have as many trees in Plano <sil> at least the area where <sil> we're over by Collin Creek Mall <sil> but a lot of the shrubbery that we have in the front <sil> like the pittosporum all died <sil> and all those variegated <sil> uh <sil> things died. So we pretty much go with that dwarf Yaupon and that Yaupon holly <sil> and they just live <sil> Yeah <sil> you can stand those.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",what did they say to uh,where what did they say to uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",yeah stump killer and stump rotter,stump ki- yeah stump killer and stump stump rotter,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it was raspberries and blueberries and strawberries on a plate with like a custard on the bottom,it was it was raspberries and blueberries and and strawberries on a plate with like a custard on the bottom,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",what kinds of things do you think can,what what kinds of things do you think can,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh yeah it has.,Oh yeah <sil> it has.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",But um Uh-huh.,But <sil> um <sil> Uh-huh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",ho-,have you had any in the la- ho-,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and then some people they get so wrapped up in them that you know one day they find wow i did n't realize you know i'd spent this much money,and then some people they get so wrapped up in them that they find you know one day they find wow i did n't realize i had this much you know i'd spent this much money,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and you would n't know anything about a texas governor,and i do n't know you would n't know anything about a texas governor,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",We got into it because of SEATO agreement back just right after World War Two,We got into it because of SEATO agreement <sil> back just right after World War Two,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Um yes and no. It depends on how frequently they die and how much that bothers you.,Um <sil> yes and no. It depends on how frequently they die <sil> and how much that bothers you.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well good. Good I'm glad they have a solution. To do that yes. I know.,Well <sil> good. Good <sil> I'm glad they have a solution. To do that <sil> yes. I know.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and they could n't handle her,and they they could n't handle her,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh we've actually got a kind of a nice set up,there's uh we've actually got a kind of a nice set up,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh uh too often i think they're not and uh when you are selecting a jury and you're doing it partially if not entirely on the basis of which color representation you know that's a matter of concern to me too,uh uh too often i think they're not and uh when you y- when you are selecting a jury and you're doing it partially if if not entirely on the basis of which color representation you have you know that's a matter of concern to me too,disfl
